sample	individual	environment	site
s_160097436_HP	s_160097436	ORAL_CAVITY	HP
s_160097436_KG	s_160097436	ORAL_CAVITY	KG
s_160097436_PT	s_160097436	ORAL_CAVITY	PT
s_160097436_ST	s_160097436	GUT	ST
s_160097436_SUBP	s_160097436	ORAL_CAVITY	SUBP
s_160097436_SUPP	s_160097436	ORAL_CAVITY	SUPP
s_160097436_SV	s_160097436	ORAL_CAVITY	SV
s_160097436_TD	s_160097436	ORAL_CAVITY	TD
s_160097436_TH	s_160097436	ORAL_CAVITY	TH
s_160137896_BM	s_160137896	ORAL_CAVITY	BM
s_160137896_HP	s_160137896	ORAL_CAVITY	HP
s_160137896_KG	s_160137896	ORAL_CAVITY	KG
s_160137896_PT	s_160137896	ORAL_CAVITY	PT
s_160137896_ST	s_160137896	GUT	ST
s_160137896_SUBP	s_160137896	ORAL_CAVITY	SUBP
s_160137896_SUPP	s_160137896	ORAL_CAVITY	SUPP
s_160137896_SV	s_160137896	ORAL_CAVITY	SV
s_160137896_TD	s_160137896	ORAL_CAVITY	TD
s_160137896_TH	s_160137896	ORAL_CAVITY	TH
s_160158126_BM	s_160158126	ORAL_CAVITY	BM
s_160158126_HP	s_160158126	ORAL_CAVITY	HP
s_160158126_KG	s_160158126	ORAL_CAVITY	KG
s_160158126_PT	s_160158126	ORAL_CAVITY	PT
s_160158126_ST	s_160158126	GUT	ST
s_160158126_SUBP	s_160158126	ORAL_CAVITY	SUBP
s_160158126_SUPP	s_160158126	ORAL_CAVITY	SUPP
s_160158126_SV	s_160158126	ORAL_CAVITY	SV
s_160158126_TD	s_160158126	ORAL_CAVITY	TD
s_160158126_TH	s_160158126	ORAL_CAVITY	TH
s_160178356_BM	s_160178356	ORAL_CAVITY	BM
s_160178356_HP	s_160178356	ORAL_CAVITY	HP
s_160178356_KG	s_160178356	ORAL_CAVITY	KG
s_160178356_PT	s_160178356	ORAL_CAVITY	PT
s_160178356_ST	s_160178356	GUT	ST
s_160178356_SUBP	s_160178356	ORAL_CAVITY	SUBP
s_160178356_SUPP	s_160178356	ORAL_CAVITY	SUPP
s_160178356_SV	s_160178356	ORAL_CAVITY	SV
s_160178356_TD	s_160178356	ORAL_CAVITY	TD
s_160178356_TH	s_160178356	ORAL_CAVITY	TH
s_160218816_BM	s_160218816	ORAL_CAVITY	BM
s_160218816_HP	s_160218816	ORAL_CAVITY	HP
s_160218816_KG	s_160218816	ORAL_CAVITY	KG
s_160218816_PT	s_160218816	ORAL_CAVITY	PT
s_160218816_ST	s_160218816	GUT	ST
s_160218816_SUBP	s_160218816	ORAL_CAVITY	SUBP
s_160218816_SUPP	s_160218816	ORAL_CAVITY	SUPP
s_160218816_SV	s_160218816	ORAL_CAVITY	SV
s_160218816_TD	s_160218816	ORAL_CAVITY	TD
s_160218816_TH	s_160218816	ORAL_CAVITY	TH
s_160239046_BM	s_160239046	ORAL_CAVITY	BM
s_160239046_HP	s_160239046	ORAL_CAVITY	HP
s_160239046_KG	s_160239046	ORAL_CAVITY	KG
s_160239046_PT	s_160239046	ORAL_CAVITY	PT
s_160239046_ST	s_160239046	GUT	ST
s_160239046_SUBP	s_160239046	ORAL_CAVITY	SUBP
s_160239046_SUPP	s_160239046	ORAL_CAVITY	SUPP
s_160239046_SV	s_160239046	ORAL_CAVITY	SV
s_160239046_TD	s_160239046	ORAL_CAVITY	TD
s_160239046_TH	s_160239046	ORAL_CAVITY	TH
s_160259276_BM	s_160259276	ORAL_CAVITY	BM
s_160259276_HP	s_160259276	ORAL_CAVITY	HP
s_160259276_KG	s_160259276	ORAL_CAVITY	KG
s_160259276_PT	s_160259276	ORAL_CAVITY	PT
s_160259276_ST	s_160259276	GUT	ST
s_160259276_SUBP	s_160259276	ORAL_CAVITY	SUBP
s_160259276_SUPP	s_160259276	ORAL_CAVITY	SUPP
s_160259276_SV	s_160259276	ORAL_CAVITY	SV
s_160259276_TD	s_160259276	ORAL_CAVITY	TD
s_160259276_TH	s_160259276	ORAL_CAVITY	TH
s_160319967_BM	s_160319967	ORAL_CAVITY	BM
s_160319967_HP	s_160319967	ORAL_CAVITY	HP
s_160319967_KG	s_160319967	ORAL_CAVITY	KG
s_160319967_PT	s_160319967	ORAL_CAVITY	PT
s_160319967_ST	s_160319967	GUT	ST
s_160319967_SUBP	s_160319967	ORAL_CAVITY	SUBP
s_160319967_SUPP	s_160319967	ORAL_CAVITY	SUPP
s_160319967_SV	s_160319967	ORAL_CAVITY	SV
s_160319967_TD	s_160319967	ORAL_CAVITY	TD
s_160319967_TH	s_160319967	ORAL_CAVITY	TH
s_160340197_BM	s_160340197	ORAL_CAVITY	BM
s_160340197_HP	s_160340197	ORAL_CAVITY	HP
s_160340197_KG	s_160340197	ORAL_CAVITY	KG
s_160340197_PT	s_160340197	ORAL_CAVITY	PT
s_160340197_SUBP	s_160340197	ORAL_CAVITY	SUBP
s_160340197_SUPP	s_160340197	ORAL_CAVITY	SUPP
s_160340197_SV	s_160340197	ORAL_CAVITY	SV
s_160340197_TD	s_160340197	ORAL_CAVITY	TD
s_160340197_TH	s_160340197	ORAL_CAVITY	TH
s_160380657_BM	s_160380657	ORAL_CAVITY	BM
s_160380657_HP	s_160380657	ORAL_CAVITY	HP
s_160380657_KG	s_160380657	ORAL_CAVITY	KG
s_160380657_PT	s_160380657	ORAL_CAVITY	PT
s_160380657_ST	s_160380657	GUT	ST
s_160380657_SUBP	s_160380657	ORAL_CAVITY	SUBP
s_160380657_SUPP	s_160380657	ORAL_CAVITY	SUPP
s_160380657_SV	s_160380657	ORAL_CAVITY	SV
s_160380657_TD	s_160380657	ORAL_CAVITY	TD
s_160380657_TH	s_160380657	ORAL_CAVITY	TH
s_160400887_BM	s_160400887	ORAL_CAVITY	BM
s_160400887_HP	s_160400887	ORAL_CAVITY	HP
s_160400887_KG	s_160400887	ORAL_CAVITY	KG
s_160400887_PT	s_160400887	ORAL_CAVITY	PT
s_160400887_ST	s_160400887	GUT	ST
s_160400887_SUBP	s_160400887	ORAL_CAVITY	SUBP
s_160400887_SUPP	s_160400887	ORAL_CAVITY	SUPP
s_160400887_SV	s_160400887	ORAL_CAVITY	SV
s_160400887_TD	s_160400887	ORAL_CAVITY	TD
s_160400887_TH	s_160400887	ORAL_CAVITY	TH
s_160421117_BM	s_160421117	ORAL_CAVITY	BM
s_160421117_HP	s_160421117	ORAL_CAVITY	HP
s_160421117_KG	s_160421117	ORAL_CAVITY	KG
s_160421117_PT	s_160421117	ORAL_CAVITY	PT
s_160421117_ST	s_160421117	GUT	ST
s_160421117_SUBP	s_160421117	ORAL_CAVITY	SUBP
s_160421117_SUPP	s_160421117	ORAL_CAVITY	SUPP
s_160421117_SV	s_160421117	ORAL_CAVITY	SV
s_160421117_TD	s_160421117	ORAL_CAVITY	TD
s_160421117_TH	s_160421117	ORAL_CAVITY	TH
s_160441347_BM	s_160441347	ORAL_CAVITY	BM
s_160441347_HP	s_160441347	ORAL_CAVITY	HP
s_160441347_KG	s_160441347	ORAL_CAVITY	KG
s_160441347_PT	s_160441347	ORAL_CAVITY	PT
s_160441347_ST	s_160441347	GUT	ST
s_160441347_SUBP	s_160441347	ORAL_CAVITY	SUBP
s_160441347_SUPP	s_160441347	ORAL_CAVITY	SUPP
s_160441347_SV	s_160441347	ORAL_CAVITY	SV
s_160441347_TD	s_160441347	ORAL_CAVITY	TD
s_160441347_TH	s_160441347	ORAL_CAVITY	TH
s_160461578_BM	s_160461578	ORAL_CAVITY	BM
s_160461578_HP	s_160461578	ORAL_CAVITY	HP
s_160461578_KG	s_160461578	ORAL_CAVITY	KG
s_160461578_PT	s_160461578	ORAL_CAVITY	PT
s_160461578_ST	s_160461578	GUT	ST
s_160461578_SUBP	s_160461578	ORAL_CAVITY	SUBP
s_160461578_SUPP	s_160461578	ORAL_CAVITY	SUPP
s_160461578_SV	s_160461578	ORAL_CAVITY	SV
s_160461578_TD	s_160461578	ORAL_CAVITY	TD
s_160461578_TH	s_160461578	ORAL_CAVITY	TH
s_160481808_BM	s_160481808	ORAL_CAVITY	BM
s_160481808_HP	s_160481808	ORAL_CAVITY	HP
s_160481808_KG	s_160481808	ORAL_CAVITY	KG
s_160481808_PT	s_160481808	ORAL_CAVITY	PT
s_160481808_ST	s_160481808	GUT	ST
s_160481808_SUBP	s_160481808	ORAL_CAVITY	SUBP
s_160481808_SUPP	s_160481808	ORAL_CAVITY	SUPP
s_160481808_SV	s_160481808	ORAL_CAVITY	SV
s_160481808_TD	s_160481808	ORAL_CAVITY	TD
s_160481808_TH	s_160481808	ORAL_CAVITY	TH
s_160502038_BM	s_160502038	ORAL_CAVITY	BM
s_160502038_HP	s_160502038	ORAL_CAVITY	HP
s_160502038_KG	s_160502038	ORAL_CAVITY	KG
s_160502038_PT	s_160502038	ORAL_CAVITY	PT
s_160502038_ST	s_160502038	GUT	ST
s_160502038_SUBP	s_160502038	ORAL_CAVITY	SUBP
s_160502038_SUPP	s_160502038	ORAL_CAVITY	SUPP
s_160502038_SV	s_160502038	ORAL_CAVITY	SV
s_160502038_TD	s_160502038	ORAL_CAVITY	TD
s_160502038_TH	s_160502038	ORAL_CAVITY	TH
s_160542498_BM	s_160542498	ORAL_CAVITY	BM
s_160542498_HP	s_160542498	ORAL_CAVITY	HP
s_160542498_KG	s_160542498	ORAL_CAVITY	KG
s_160542498_PT	s_160542498	ORAL_CAVITY	PT
s_160542498_ST	s_160542498	GUT	ST
s_160542498_SUBP	s_160542498	ORAL_CAVITY	SUBP
s_160542498_SUPP	s_160542498	ORAL_CAVITY	SUPP
s_160542498_SV	s_160542498	ORAL_CAVITY	SV
s_160542498_TD	s_160542498	ORAL_CAVITY	TD
s_160542498_TH	s_160542498	ORAL_CAVITY	TH
s_160582958_BM	s_160582958	ORAL_CAVITY	BM
s_160582958_HP	s_160582958	ORAL_CAVITY	HP
s_160582958_KG	s_160582958	ORAL_CAVITY	KG
s_160582958_PT	s_160582958	ORAL_CAVITY	PT
s_160582958_ST	s_160582958	GUT	ST
s_160582958_SUBP	s_160582958	ORAL_CAVITY	SUBP
s_160582958_SUPP	s_160582958	ORAL_CAVITY	SUPP
s_160582958_SV	s_160582958	ORAL_CAVITY	SV
s_160582958_TD	s_160582958	ORAL_CAVITY	TD
s_160582958_TH	s_160582958	ORAL_CAVITY	TH
s_160603188_BM	s_160603188	ORAL_CAVITY	BM
s_160603188_HP	s_160603188	ORAL_CAVITY	HP
s_160603188_KG	s_160603188	ORAL_CAVITY	KG
s_160603188_PT	s_160603188	ORAL_CAVITY	PT
s_160603188_ST	s_160603188	GUT	ST
s_160603188_SUBP	s_160603188	ORAL_CAVITY	SUBP
s_160603188_SUPP	s_160603188	ORAL_CAVITY	SUPP
s_160603188_SV	s_160603188	ORAL_CAVITY	SV
s_160603188_TD	s_160603188	ORAL_CAVITY	TD
s_160603188_TH	s_160603188	ORAL_CAVITY	TH
s_160643649_BM	s_160643649	ORAL_CAVITY	BM
s_160643649_HP	s_160643649	ORAL_CAVITY	HP
s_160643649_KG	s_160643649	ORAL_CAVITY	KG
s_160643649_PT	s_160643649	ORAL_CAVITY	PT
s_160643649_ST	s_160643649	GUT	ST
s_160643649_SUBP	s_160643649	ORAL_CAVITY	SUBP
s_160643649_SUPP	s_160643649	ORAL_CAVITY	SUPP
s_160643649_SV	s_160643649	ORAL_CAVITY	SV
s_160643649_TD	s_160643649	ORAL_CAVITY	TD
s_160643649_TH	s_160643649	ORAL_CAVITY	TH
s_160663879_BM	s_160663879	ORAL_CAVITY	BM
s_160663879_HP	s_160663879	ORAL_CAVITY	HP
s_160663879_KG	s_160663879	ORAL_CAVITY	KG
s_160663879_PT	s_160663879	ORAL_CAVITY	PT
s_160663879_ST	s_160663879	GUT	ST
s_160663879_SUBP	s_160663879	ORAL_CAVITY	SUBP
s_160663879_SUPP	s_160663879	ORAL_CAVITY	SUPP
s_160663879_SV	s_160663879	ORAL_CAVITY	SV
s_160663879_TD	s_160663879	ORAL_CAVITY	TD
s_160663879_TH	s_160663879	ORAL_CAVITY	TH
s_160684109_BM	s_160684109	ORAL_CAVITY	BM
s_160684109_HP	s_160684109	ORAL_CAVITY	HP
s_160684109_KG	s_160684109	ORAL_CAVITY	KG
s_160684109_PT	s_160684109	ORAL_CAVITY	PT
s_160684109_ST	s_160684109	GUT	ST
s_160684109_SUBP	s_160684109	ORAL_CAVITY	SUBP
s_160684109_SUPP	s_160684109	ORAL_CAVITY	SUPP
s_160684109_SV	s_160684109	ORAL_CAVITY	SV
s_160684109_TD	s_160684109	ORAL_CAVITY	TD
s_160684109_TH	s_160684109	ORAL_CAVITY	TH
s_160704339_BM	s_160704339	ORAL_CAVITY	BM
s_160704339_HP	s_160704339	ORAL_CAVITY	HP
s_160704339_KG	s_160704339	ORAL_CAVITY	KG
s_160704339_PT	s_160704339	ORAL_CAVITY	PT
s_160704339_ST	s_160704339	GUT	ST
s_160704339_SUBP	s_160704339	ORAL_CAVITY	SUBP
s_160704339_SUPP	s_160704339	ORAL_CAVITY	SUPP
s_160704339_SV	s_160704339	ORAL_CAVITY	SV
s_160704339_TD	s_160704339	ORAL_CAVITY	TD
s_160704339_TH	s_160704339	ORAL_CAVITY	TH
s_160765029_BM	s_160765029	ORAL_CAVITY	BM
s_160765029_HP	s_160765029	ORAL_CAVITY	HP
s_160765029_KG	s_160765029	ORAL_CAVITY	KG
s_160765029_PT	s_160765029	ORAL_CAVITY	PT
s_160765029_ST	s_160765029	GUT	ST
s_160765029_SUBP	s_160765029	ORAL_CAVITY	SUBP
s_160765029_SUPP	s_160765029	ORAL_CAVITY	SUPP
s_160765029_SV	s_160765029	ORAL_CAVITY	SV
s_160765029_TD	s_160765029	ORAL_CAVITY	TD
s_160765029_TH	s_160765029	ORAL_CAVITY	TH
s_160845950_BM	s_160845950	ORAL_CAVITY	BM
s_160845950_HP	s_160845950	ORAL_CAVITY	HP
s_160845950_KG	s_160845950	ORAL_CAVITY	KG
s_160845950_PT	s_160845950	ORAL_CAVITY	PT
s_160845950_ST	s_160845950	GUT	ST
s_160845950_SUBP	s_160845950	ORAL_CAVITY	SUBP
s_160845950_SUPP	s_160845950	ORAL_CAVITY	SUPP
s_160845950_SV	s_160845950	ORAL_CAVITY	SV
s_160845950_TD	s_160845950	ORAL_CAVITY	TD
s_160845950_TH	s_160845950	ORAL_CAVITY	TH
s_160906640_BM	s_160906640	ORAL_CAVITY	BM
s_160906640_HP	s_160906640	ORAL_CAVITY	HP
s_160906640_KG	s_160906640	ORAL_CAVITY	KG
s_160906640_PT	s_160906640	ORAL_CAVITY	PT
s_160906640_ST	s_160906640	GUT	ST
s_160906640_SUBP	s_160906640	ORAL_CAVITY	SUBP
s_160906640_SUPP	s_160906640	ORAL_CAVITY	SUPP
s_160906640_SV	s_160906640	ORAL_CAVITY	SV
s_160906640_TD	s_160906640	ORAL_CAVITY	TD
s_160906640_TH	s_160906640	ORAL_CAVITY	TH
s_160947100_BM	s_160947100	ORAL_CAVITY	BM
s_160947100_HP	s_160947100	ORAL_CAVITY	HP
s_160947100_KG	s_160947100	ORAL_CAVITY	KG
s_160947100_PT	s_160947100	ORAL_CAVITY	PT
s_160947100_ST	s_160947100	GUT	ST
s_160947100_SUBP	s_160947100	ORAL_CAVITY	SUBP
s_160947100_SUPP	s_160947100	ORAL_CAVITY	SUPP
s_160947100_SV	s_160947100	ORAL_CAVITY	SV
s_160947100_TD	s_160947100	ORAL_CAVITY	TD
s_160947100_TH	s_160947100	ORAL_CAVITY	TH
s_160967330_BM	s_160967330	ORAL_CAVITY	BM
s_160967330_HP	s_160967330	ORAL_CAVITY	HP
s_160967330_KG	s_160967330	ORAL_CAVITY	KG
s_160967330_PT	s_160967330	ORAL_CAVITY	PT
s_160967330_ST	s_160967330	GUT	ST
s_160967330_SUBP	s_160967330	ORAL_CAVITY	SUBP
s_160967330_SUPP	s_160967330	ORAL_CAVITY	SUPP
s_160967330_SV	s_160967330	ORAL_CAVITY	SV
s_160967330_TD	s_160967330	ORAL_CAVITY	TD
s_160967330_TH	s_160967330	ORAL_CAVITY	TH
s_160987560_BM	s_160987560	ORAL_CAVITY	BM
s_160987560_HP	s_160987560	ORAL_CAVITY	HP
s_160987560_KG	s_160987560	ORAL_CAVITY	KG
s_160987560_PT	s_160987560	ORAL_CAVITY	PT
s_160987560_ST	s_160987560	GUT	ST
s_160987560_SUBP	s_160987560	ORAL_CAVITY	SUBP
s_160987560_SUPP	s_160987560	ORAL_CAVITY	SUPP
s_160987560_SV	s_160987560	ORAL_CAVITY	SV
s_160987560_TD	s_160987560	ORAL_CAVITY	TD
s_160987560_TH	s_160987560	ORAL_CAVITY	TH
s_161007791_BM	s_161007791	ORAL_CAVITY	BM
s_161007791_HP	s_161007791	ORAL_CAVITY	HP
s_161007791_KG	s_161007791	ORAL_CAVITY	KG
s_161007791_PT	s_161007791	ORAL_CAVITY	PT
s_161007791_ST	s_161007791	GUT	ST
s_161007791_SUBP	s_161007791	ORAL_CAVITY	SUBP
s_161007791_SUPP	s_161007791	ORAL_CAVITY	SUPP
s_161007791_SV	s_161007791	ORAL_CAVITY	SV
s_161007791_TD	s_161007791	ORAL_CAVITY	TD
s_161007791_TH	s_161007791	ORAL_CAVITY	TH
s_161028021_BM	s_161028021	ORAL_CAVITY	BM
s_161028021_HP	s_161028021	ORAL_CAVITY	HP
s_161028021_KG	s_161028021	ORAL_CAVITY	KG
s_161028021_PT	s_161028021	ORAL_CAVITY	PT
s_161028021_ST	s_161028021	GUT	ST
s_161028021_SUBP	s_161028021	ORAL_CAVITY	SUBP
s_161028021_SUPP	s_161028021	ORAL_CAVITY	SUPP
s_161028021_SV	s_161028021	ORAL_CAVITY	SV
s_161028021_TD	s_161028021	ORAL_CAVITY	TD
s_161028021_TH	s_161028021	ORAL_CAVITY	TH
s_161068481_BM	s_161068481	ORAL_CAVITY	BM
s_161068481_HP	s_161068481	ORAL_CAVITY	HP
s_161068481_KG	s_161068481	ORAL_CAVITY	KG
s_161068481_PT	s_161068481	ORAL_CAVITY	PT
s_161068481_ST	s_161068481	GUT	ST
s_161068481_SUBP	s_161068481	ORAL_CAVITY	SUBP
s_161068481_SUPP	s_161068481	ORAL_CAVITY	SUPP
s_161068481_SV	s_161068481	ORAL_CAVITY	SV
s_161068481_TD	s_161068481	ORAL_CAVITY	TD
s_161068481_TH	s_161068481	ORAL_CAVITY	TH
s_161230322_BM	s_161230322	ORAL_CAVITY	BM
s_161230322_HP	s_161230322	ORAL_CAVITY	HP
s_161230322_KG	s_161230322	ORAL_CAVITY	KG
s_161230322_PT	s_161230322	ORAL_CAVITY	PT
s_161230322_ST	s_161230322	GUT	ST
s_161230322_SUBP	s_161230322	ORAL_CAVITY	SUBP
s_161230322_SUPP	s_161230322	ORAL_CAVITY	SUPP
s_161230322_SV	s_161230322	ORAL_CAVITY	SV
s_161230322_TD	s_161230322	ORAL_CAVITY	TD
s_161230322_TH	s_161230322	ORAL_CAVITY	TH
s_161270782_BM	s_161270782	ORAL_CAVITY	BM
s_161270782_HP	s_161270782	ORAL_CAVITY	HP
s_161270782_KG	s_161270782	ORAL_CAVITY	KG
s_161270782_PT	s_161270782	ORAL_CAVITY	PT
s_161270782_ST	s_161270782	GUT	ST
s_161270782_SUBP	s_161270782	ORAL_CAVITY	SUBP
s_161270782_SUPP	s_161270782	ORAL_CAVITY	SUPP
s_161270782_SV	s_161270782	ORAL_CAVITY	SV
s_161270782_TD	s_161270782	ORAL_CAVITY	TD
s_161270782_TH	s_161270782	ORAL_CAVITY	TH
s_161311242_BM	s_161311242	ORAL_CAVITY	BM
s_161311242_HP	s_161311242	ORAL_CAVITY	HP
s_161311242_KG	s_161311242	ORAL_CAVITY	KG
s_161311242_PT	s_161311242	ORAL_CAVITY	PT
s_161311242_ST	s_161311242	GUT	ST
s_161311242_SUBP	s_161311242	ORAL_CAVITY	SUBP
s_161311242_SUPP	s_161311242	ORAL_CAVITY	SUPP
s_161311242_SV	s_161311242	ORAL_CAVITY	SV
s_161311242_TD	s_161311242	ORAL_CAVITY	TD
s_161311242_TH	s_161311242	ORAL_CAVITY	TH
s_161331472_BM	s_161331472	ORAL_CAVITY	BM
s_161331472_HP	s_161331472	ORAL_CAVITY	HP
s_161331472_KG	s_161331472	ORAL_CAVITY	KG
s_161331472_PT	s_161331472	ORAL_CAVITY	PT
s_161331472_ST	s_161331472	GUT	ST
s_161331472_SUBP	s_161331472	ORAL_CAVITY	SUBP
s_161331472_SUPP	s_161331472	ORAL_CAVITY	SUPP
s_161331472_SV	s_161331472	ORAL_CAVITY	SV
s_161331472_TD	s_161331472	ORAL_CAVITY	TD
s_161331472_TH	s_161331472	ORAL_CAVITY	TH
s_161351702_BM	s_161351702	ORAL_CAVITY	BM
s_161351702_HP	s_161351702	ORAL_CAVITY	HP
s_161351702_KG	s_161351702	ORAL_CAVITY	KG
s_161351702_PT	s_161351702	ORAL_CAVITY	PT
s_161351702_ST	s_161351702	GUT	ST
s_161351702_SUBP	s_161351702	ORAL_CAVITY	SUBP
s_161351702_SUPP	s_161351702	ORAL_CAVITY	SUPP
s_161351702_SV	s_161351702	ORAL_CAVITY	SV
s_161351702_TD	s_161351702	ORAL_CAVITY	TD
s_161351702_TH	s_161351702	ORAL_CAVITY	TH
s_161412393_BM	s_161412393	ORAL_CAVITY	BM
s_161412393_HP	s_161412393	ORAL_CAVITY	HP
s_161412393_KG	s_161412393	ORAL_CAVITY	KG
s_161412393_PT	s_161412393	ORAL_CAVITY	PT
s_161412393_ST	s_161412393	GUT	ST
s_161412393_SUBP	s_161412393	ORAL_CAVITY	SUBP
s_161412393_SUPP	s_161412393	ORAL_CAVITY	SUPP
s_161412393_SV	s_161412393	ORAL_CAVITY	SV
s_161412393_TD	s_161412393	ORAL_CAVITY	TD
s_161412393_TH	s_161412393	ORAL_CAVITY	TH
s_161473083_BM	s_161473083	ORAL_CAVITY	BM
s_161473083_HP	s_161473083	ORAL_CAVITY	HP
s_161473083_KG	s_161473083	ORAL_CAVITY	KG
s_161473083_PT	s_161473083	ORAL_CAVITY	PT
s_161473083_ST	s_161473083	GUT	ST
s_161473083_SUBP	s_161473083	ORAL_CAVITY	SUBP
s_161473083_SUPP	s_161473083	ORAL_CAVITY	SUPP
s_161473083_SV	s_161473083	ORAL_CAVITY	SV
s_161473083_TD	s_161473083	ORAL_CAVITY	TD
s_161473083_TH	s_161473083	ORAL_CAVITY	TH
s_161554003_BM	s_161554003	ORAL_CAVITY	BM
s_161554003_HP	s_161554003	ORAL_CAVITY	HP
s_161554003_KG	s_161554003	ORAL_CAVITY	KG
s_161554003_PT	s_161554003	ORAL_CAVITY	PT
s_161554003_ST	s_161554003	GUT	ST
s_161554003_SUBP	s_161554003	ORAL_CAVITY	SUBP
s_161554003_SUPP	s_161554003	ORAL_CAVITY	SUPP
s_161554003_SV	s_161554003	ORAL_CAVITY	SV
s_161554003_TD	s_161554003	ORAL_CAVITY	TD
s_161554003_TH	s_161554003	ORAL_CAVITY	TH
s_206906765_BM	s_206906765	ORAL_CAVITY	BM
s_206906765_HP	s_206906765	ORAL_CAVITY	HP
s_206906765_KG	s_206906765	ORAL_CAVITY	KG
s_206906765_PT	s_206906765	ORAL_CAVITY	PT
s_206906765_ST	s_206906765	GUT	ST
s_206906765_SUBP	s_206906765	ORAL_CAVITY	SUBP
s_206906765_SUPP	s_206906765	ORAL_CAVITY	SUPP
s_206906765_SV	s_206906765	ORAL_CAVITY	SV
s_206906765_TD	s_206906765	ORAL_CAVITY	TD
s_206906765_TH	s_206906765	ORAL_CAVITY	TH
s_208027353_BM	s_208027353	ORAL_CAVITY	BM
s_208027353_HP	s_208027353	ORAL_CAVITY	HP
s_208027353_KG	s_208027353	ORAL_CAVITY	KG
s_208027353_PT	s_208027353	ORAL_CAVITY	PT
s_208027353_ST	s_208027353	GUT	ST
s_208027353_SUBP	s_208027353	ORAL_CAVITY	SUBP
s_208027353_SUPP	s_208027353	ORAL_CAVITY	SUPP
s_208027353_SV	s_208027353	ORAL_CAVITY	SV
s_208027353_TD	s_208027353	ORAL_CAVITY	TD
s_208027353_TH	s_208027353	ORAL_CAVITY	TH
s_246515023_BM	s_246515023	ORAL_CAVITY	BM
s_246515023_HP	s_246515023	ORAL_CAVITY	HP
s_246515023_KG	s_246515023	ORAL_CAVITY	KG
s_246515023_PT	s_246515023	ORAL_CAVITY	PT
s_246515023_ST	s_246515023	GUT	ST
s_246515023_SUBP	s_246515023	ORAL_CAVITY	SUBP
s_246515023_SUPP	s_246515023	ORAL_CAVITY	SUPP
s_246515023_SV	s_246515023	ORAL_CAVITY	SV
s_246515023_TD	s_246515023	ORAL_CAVITY	TD
s_246515023_TH	s_246515023	ORAL_CAVITY	TH
s_257905678_BM	s_257905678	ORAL_CAVITY	BM
s_257905678_HP	s_257905678	ORAL_CAVITY	HP
s_257905678_KG	s_257905678	ORAL_CAVITY	KG
s_257905678_PT	s_257905678	ORAL_CAVITY	PT
s_257905678_ST	s_257905678	GUT	ST
s_257905678_SUBP	s_257905678	ORAL_CAVITY	SUBP
s_257905678_SUPP	s_257905678	ORAL_CAVITY	SUPP
s_257905678_SV	s_257905678	ORAL_CAVITY	SV
s_257905678_TD	s_257905678	ORAL_CAVITY	TD
s_257905678_TH	s_257905678	ORAL_CAVITY	TH
s_295137534_BM	s_295137534	ORAL_CAVITY	BM
s_295137534_HP	s_295137534	ORAL_CAVITY	HP
s_295137534_KG	s_295137534	ORAL_CAVITY	KG
s_295137534_PT	s_295137534	ORAL_CAVITY	PT
s_295137534_ST	s_295137534	GUT	ST
s_295137534_SUBP	s_295137534	ORAL_CAVITY	SUBP
s_295137534_SUPP	s_295137534	ORAL_CAVITY	SUPP
s_295137534_SV	s_295137534	ORAL_CAVITY	SV
s_295137534_TD	s_295137534	ORAL_CAVITY	TD
s_295137534_TH	s_295137534	ORAL_CAVITY	TH
s_336497421_BM	s_336497421	ORAL_CAVITY	BM
s_336497421_HP	s_336497421	ORAL_CAVITY	HP
s_336497421_KG	s_336497421	ORAL_CAVITY	KG
s_336497421_PT	s_336497421	ORAL_CAVITY	PT
s_336497421_ST	s_336497421	GUT	ST
s_336497421_SUBP	s_336497421	ORAL_CAVITY	SUBP
s_336497421_SUPP	s_336497421	ORAL_CAVITY	SUPP
s_336497421_SV	s_336497421	ORAL_CAVITY	SV
s_336497421_TD	s_336497421	ORAL_CAVITY	TD
s_336497421_TH	s_336497421	ORAL_CAVITY	TH
s_370027359_BM	s_370027359	ORAL_CAVITY	BM
s_370027359_HP	s_370027359	ORAL_CAVITY	HP
s_370027359_KG	s_370027359	ORAL_CAVITY	KG
s_370027359_PT	s_370027359	ORAL_CAVITY	PT
s_370027359_ST	s_370027359	GUT	ST
s_370027359_SUBP	s_370027359	ORAL_CAVITY	SUBP
s_370027359_SUPP	s_370027359	ORAL_CAVITY	SUPP
s_370027359_SV	s_370027359	ORAL_CAVITY	SV
s_370027359_TD	s_370027359	ORAL_CAVITY	TD
s_370027359_TH	s_370027359	ORAL_CAVITY	TH
s_370425937_BM	s_370425937	ORAL_CAVITY	BM
s_370425937_HP	s_370425937	ORAL_CAVITY	HP
s_370425937_KG	s_370425937	ORAL_CAVITY	KG
s_370425937_PT	s_370425937	ORAL_CAVITY	PT
s_370425937_ST	s_370425937	GUT	ST
s_370425937_SUBP	s_370425937	ORAL_CAVITY	SUBP
s_370425937_SUPP	s_370425937	ORAL_CAVITY	SUPP
s_370425937_SV	s_370425937	ORAL_CAVITY	SV
s_370425937_TD	s_370425937	ORAL_CAVITY	TD
s_370425937_TH	s_370425937	ORAL_CAVITY	TH
s_404239096_BM	s_404239096	ORAL_CAVITY	BM
s_404239096_HP	s_404239096	ORAL_CAVITY	HP
