Authors,Title,Year,Source title,Page start,Page end,Cited by
"Steinfeld, I., Shamir, R., Kupiec, M.",A genome-wide analysis in Saccharomyces cerevisiae demonstrates the influence of chromatin modifiers on transcription,2007,Nature Genetics,303,309,44
"Wang, F., Paradkar, P.N., Custodio, A.O., McVey Ward, D., Fleming, M.D., Campagna, D., Roberts, K.A., Boyartchuk, V., Dietrich, W.F., Kaplan, J., Andrews, N.C.",Genetic variation in Mon1a affects protein trafficking and modifies macrophage iron loading in mice,2007,Nature Genetics,1025,1032,44
"Suriben, R., Kivimäe, S., Fisher, D.A.C., Moon, R.T., Cheyette, B.N.R.",Posterior malformations in Dact1 mutant mice arise through misregulated Vangl2 at the primitive streak,2009,Nature Genetics,977,985,44
"Van Der Zanden, L.F.M., Van Rooij, I.A.L.M., Feitz, W.F.J., Knight, J., Donders, A.R.T., Renkema, K.Y., Bongers, E.M.H.F., Vermeulen, S.H.H.M., Kiemeney, L.A.L.M., Veltman, J.A., Arias-Vásquez, A., Zhang, X., Markljung, E., Qiao, L., Baskin, L.S., Nordenskjöld, A., Roeleveld, N., Franke, B., Knoers, N.V.A.M.",Common variants in DGKK are strongly associated with risk of hypospadias,2011,Nature Genetics,48,50,44
"Le Goff, C., Mahaut, C., Abhyankar, A., Le Goff, W., Serre, V., Afenjar, A., Destrée, A., Di Rocco, M., Héron, D., Jacquemont, S., Marlin, S., Simon, M., Tolmie, J., Verloes, A., Casanova, J.-L., Munnich, A., Cormier-Daire, V.",Mutations at a single codon in Mad homology 2 domain of SMAD4 cause Myhre syndrome,2012,Nature Genetics,85,88,44
"Witt, H., Beer, S., Rosendahl, J., Chen, J.-M., Chandak, G.R., Masamune, A., Bence, M., Szmola, R., Oracz, G., Macek, M., Bhatia, E., Steigenberger, S., Lasher, D., Bühler, F., Delaporte, C., Tebbing, J., Ludwig, M., Pilsak, C., Saum, K., Bugert, P., Masson, E., Paliwal, S., Bhaskar, S., Sobczynska-Tomaszewska, A., Bak, D., Balascak, I., Choudhuri, G., Reddy, D.N., Rao, G.V., Thomas, V., Kume, K., Nakano, E., Kakuta, Y., Shimosegawa, T., Durko, L., Szabó, A., Schnúr, A., Hegyi, P., Rakonczay, Z., Pfützer, R., Schneider, A., Groneberg, D.A., Braun, M., Schmidt, H., Witt, U., Friess, H., Algül, H., Landt, O., Schuelke, M., Krüger, R., Wiedenmann, B., Schmidt, F., Zimmer, K.-P., Kovacs, P., Stumvoll, M., Blüher, M., Müller, T., Janecke, A., Teich, N., Grützmann, R., Schulz, H.-U., Mössner, J., Keim, V., Löhr, M., Férec, C., Sahin-Tóth, M.",Variants in CPA1 are strongly associated with early onset chronic pancreatitis,2013,Nature Genetics,1216,1220,44
"Roscioli, T., Cliffe, S.T., Bloch, D.B., Bell, C.G., Mullan, G., Taylor, P.J., Sarris, M., Wang, J., Donald, J.A., Kirk, E.P., Ziegler, J.B., Salzer, U., McDonald, G.B., Wong, M., Lindeman, R., Buckley, M.F.",Mutations in the gene encoding the PML nuclear body protein Sp110 are associated with immunodeficiency and hepatic veno-occlusive disease,2006,Nature Genetics,620,622,45
"Akamatsu, S., Takata, R., Haiman, C.A., Takahashi, A., Inoue, T., Kubo, M., Furihata, M., Kamatani, N., Inazawa, J., Chen, G.K., Le Marchand, L., Kolonel, L.N., Katoh, T., Yamano, Y., Yamakado, M., Takahashi, H., Yamada, H., Egawa, S., Fujioka, T., Henderson, B.E., Habuchi, T., Ogawa, O., Nakamura, Y., Nakagawa, H.","Common variants at 11q12, 10q26 and 3p11.2 are associated with prostate cancer susceptibility in Japanese",2012,Nature Genetics,426,429,45
"Schadt, E.E., Woo, S., Hao, K.",Bayesian method to predict individual SNP genotypes from gene expression data,2012,Nature Genetics,603,608,45
"Zollino, M., Orteschi, D., Murdolo, M., Lattante, S., Battaglia, D., Stefanini, C., Mercuri, E., Chiurazzi, P., Neri, G., Marangi, G.",Mutations in KANSL1 cause the 17q21.31 microdeletion syndrome phenotype,2012,Nature Genetics,636,638,45
"Ma, M., Tian, X., Igarashi, P., Pazour, G.J., Somlo, S.",Loss of cilia suppresses cyst growth in genetic models of autosomal dominant polycystic kidney disease,2013,Nature Genetics,1004,1012,45
"Wang, J., Bruford, M.W., Zhan, X., Pan, S., Wang, J., Dixon, A., He, J., Muller, M.G., Ni, P., Hu, L., Liu, Y., Hou, H., Chen, Y., Xia, J., Luo, Q., Xu, P., Chen, Y., Liao, S., Cao, C., Gao, S., Wang, Z., Yue, Z., Li, G., Yin, Y., Fox, N.C.",Peregrine and saker falcon genome sequences provide insights into evolution of a predatory lifestyle,2013,Nature Genetics,563,566,45
"Pennaneach, V., Kolodner, R.D.",Recombination and the Tel1 and Mec1 checkpoints differentially effect genome rearrangements driven by telomere dysfunction in yeast,2004,Nature Genetics,612,617,46
"Herron, B.J., Liddell, R.A., Parker, A., Grant, S., Kinne, J., Fisher, J.K., Siracusa, L.D.",A mutation in stratifin is responsible for the repeated epilation (Er) phenotype in mice,2005,Nature Genetics,1210,1212,46
"Yadava, R.S., Frenzel-McCardell, C.D., Yu, Q., Srinivasan, V., Tucker, A.L., Puymirat, J., Thornton, C.A., Prall, O.W., Harvey, R.P., Mahadevan, M.S.",RNA toxicity in myotonic muscular dystrophy induces NKX2-5 expression,2008,Nature Genetics,61,68,46
"Henneke, M., Diekmann, S., Ohlenbusch, A., Kaiser, J., Engelbrecht, V., Kohlschütter, A., Krätzner, R., Madruga-Garrido, M., Mayer, M., Opitz, L., Rodriguez, D., Rüschendorf, F., Schumacher, J., Thiele, H., Thoms, S., Steinfeld, R., Nürnberg, P., Gärtner, J.",RNASET2-deficient cystic leukoencephalopathy resembles congenital cytomegalovirus brain infection,2009,Nature Genetics,773,775,46
"Jacobs, K.B., Yeager, M., Wacholder, S., Craig, D., Kraft, P., Hunter, D.J., Paschal, J., Manolio, T.A., Tucker, M., Hoover, R.N., Thomas, G.D., Chanock, S.J., Chatterjee, N.",A new statistic and its power to infer membership in a genome-wide association study using genotype frequencies,2009,Nature Genetics,1253,1257,46
"Sankararaman, S., Obozinski, G., Jordan, M.I., Halperin, E.",Genomic privacy and limits of individual detection in a pool,2009,Nature Genetics,965,967,46
"Antonacci, F., Kidd, J.M., Marques-Bonet, T., Teague, B., Ventura, M., Girirajan, S., Alkan, C., Campbell, C.D., Vives, L., Malig, M., Rosenfeld, J.A., Ballif, B.C., Shaffer, L.G., Graves, T.A., Wilson, R.K., Schwartz, D.C., Eichler, E.E.",A large and complex structural polymorphism at 16p12.1 underlies microdeletion disease risk.,2010,Nature genetics,745,750,46
"Snape, K., Hanks, S., Ruark, E., Barros-Núñez, P., Elliott, A., Murray, A., Lane, A.H., Shannon, N., Callier, P., Chitayat, D., Clayton-Smith, J., Fitzpatrick, D.R., Gisselsson, D., Jacquemont, S., Asakura-Hay, K., Micale, M.A., Tolmie, J., Turnpenny, P.D., Wright, M., Douglas, J., Rahman, N.",Mutations in CEP57 cause mosaic variegated aneuploidy syndrome,2011,Nature Genetics,527,529,46
"Chiang, P.-W., Wang, J., Chen, Y., Fu, Q., Zhong, J., Chen, Y., Yi, X., Wu, R., Gan, H., Shi, Y., Chen, Y., Barnett, C., Wheaton, D., Day, M., Sutherland, J., Heon, E., Weleber, R.G., Gabriel, L.A.R., Cong, P., Chuang, K., Ye, S., Sallum, J.M.F., Qi, M.",Exome sequencing identifies NMNAT1 mutations as a cause of Leber congenital amaurosis,2012,Nature Genetics,972,974,46
"Dong, J., Hu, Z., Wu, C., Guo, H., Zhou, B., Lv, J., Lu, D., Chen, K., Shi, Y., Chu, M., Wang, C., Zhang, R., Dai, J., Jiang, Y., Cao, S., Qin, Z., Yu, D., Ma, H., Jin, G., Gong, J., Sun, C., Zhao, X., Yin, Z., Yang, L., Li, Z., Deng, Q., Wang, J., Wu, W., Zheng, H., Zhou, G., Chen, H., Guan, P., Peng, Z., Chen, Y., Shu, Y., Xu, L., Liu, X., Liu, L., Xu, P., Han, B., Bai, C., Zhao, Y., Zhang, H., Yan, Y., Amos, C.I., Chen, F., Tan, W., Jin, L., Wu, T., Lin, D., Shen, H.",Association analyses identify multiple new lung cancer susceptibility loci and their interactions with smoking in the Chinese population,2012,Nature Genetics,895,898,46
"Talchai, C., Xuan, S., Kitamura, T., DePinho, R.A., Accili, D.",Generation of functional insulin-producing cells in the gut by Foxo1 ablation,2012,Nature Genetics,406,412,46
"Kirby, A., Gnirke, A., Jaffe, D.B., Barešová, V., Pochet, N., Blumenstiel, B., Ye, C., Aird, D., Stevens, C., Robinson, J.T., Cabili, M.N., Gat-Viks, I., Kelliher, E., Daza, R., Defelice, M., Hůlková, H., Sovová, J., Vylet'al, P., Antignac, C., Guttman, M., Handsaker, R.E., Perrin, D., Steelman, S., Sigurdsson, S., Scheinman, S.J., Sougnez, C., Cibulskis, K., Parkin, M., Green, T., Rossin, E., Zody, M.C., Xavier, R.J., Pollak, M.R., Alper, S.L., Lindblad-Toh, K., Gabriel, S., Hart, P.S., Regev, A., Nusbaum, C., Kmoch, S., Bleyer, A.J., Lander, E.S., Daly, M.J.",Mutations causing medullary cystic kidney disease type 1 lie in a large VNTR in MUC1 missed by massively parallel sequencing,2013,Nature Genetics,299,303,46
"Rahrmann, E.P., Watson, A.L., Keng, V.W., Choi, K., Moriarity, B.S., Beckmann, D.A., Wolf, N.K., Sarver, A., Collins, M.H., Moertel, C.L., Wallace, M.R., Gel, B., Serra, E., Ratner, N., Largaespada, D.A.",Forward genetic screen for malignant peripheral nerve sheath tumor formation identifies new genes and pathways driving tumorigenesis,2013,Nature Genetics,756,766,46
"Tarpey, P.S., Behjati, S., Cooke, S.L., Van Loo, P., Wedge, D.C., Pillay, N., Marshall, J., Meara, S.O., Davies, H., Zainal, S.N., Beare, D., Butler, A., Gamble, J., Hardy, C., Hinton, J., Jia, M.M., Jayakumar, A., Jones, D., Latimer, C., Maddison, M., Martin, S., McLaren, S., Menzies, A., Mudie, L., Raine, K., Teague, J.W., Tubio, J.M.C., Halai, D., Tirabosco, R., Amary, F., Campbell, P.J., Stratton, M.R., Flanagan, A.M., Futreal, P.A.",Frequent mutation of the major cartilage collagen gene COL2A1 in chondrosarcoma,2013,Nature Genetics,923,926,46
"Adams, D.J., Dermitzakis, E.T., Cox, T., Smith, J., Davies, R., Banerjee, R., Bonfield, J., Mullikin, J.C., Chung, Y.J., Rogers, J., Bradley, A.","Complex haplotypes, copy number polymorphisms and coding variation in two recently divergent mouse strains",2005,Nature Genetics,532,536,47
"Passador-Gurgel, G., Hsieh, W.-P., Hunt, P., Deighton, N., Gibson, G.",Quantitative trait transcripts for nicotine resistance in Drosophila melanogaster,2007,Nature Genetics,264,268,47
"Harakalova, M., Van Harssel, J.J.T., Terhal, P.A., Van Lieshout, S., Duran, K., Renkens, I., Amor, D.J., Wilson, L.C., Kirk, E.P., Turner, C.L.S., Shears, D., Garcia-Minaur, S., Lees, M.M., Ross, A., Venselaar, H., Vriend, G., Takanari, H., Rook, M.B., Van Der Heyden, M.A.G., Asselbergs, F.W., Breur, H.M., Swinkels, M.E., Scurr, I.J., Smithson, S.F., Knoers, N.V., Van Der Smagt, J.J., Nijman, I.J., Kloosterman, W.P., Van Haelst, M.M., Van Haaften, G., Cuppen, E.",Dominant missense mutations in ABCC9 cause Cantúsyndrome,2012,Nature Genetics,793,796,47
"Francis, J.M., Kiezun, A., Ramos, A.H., Serra, S., Pedamallu, C.S., Qian, Z.R., Banck, M.S., Kanwar, R., Kulkarni, A.A., Karpathakis, A., Manzo, V., Contractor, T., Philips, J., Nickerson, E., Pho, N., Hooshmand, S.M., Brais, L.K., Lawrence, M.S., Pugh, T., McKenna, A., Sivachenko, A., Cibulskis, K., Carter, S.L., Ojesina, A.I., Freeman, S., Jones, R.T., Voet, D., Saksena, G., Auclair, D., Onofrio, R., Shefler, E., Sougnez, C., Grimsby, J., Green, L., Lennon, N., Meyer, T., Caplin, M., Chung, D.C., Beutler, A.S., Ogino, S., Thirlwell, C., Shivdasani, R., Asa, S.L., Harris, C.R., Getz, G., Kulke, M., Meyerson, M.",Somatic mutation of CDKN1B in small intestine neuroendocrine tumors,2013,Nature Genetics,1483,1486,47
"To, M.D., Perez-Losada, J., Mao, J.-H., Hsu, J., Jacks, T., Balmain, A.",A functional switch from lung cancer resistance to susceptibility at the Pas1 locus in Kras2LA2 mice,2006,Nature Genetics,926,930,48
"Zara, F., Biancheri, R., Bruno, C., Bordo, L., Assereto, S., Gazzerro, E., Sotgia, F., Wang, X.B., Gianotti, S., Stringara, S., Pedemonte, M., Uziel, G., Rossi, A., Schenone, A., Tortori-Donati, P., Van Der Knaap, M.S., Lisanti, M.P., Minetti, C.","Deficiency of hyccin, a newly identified membrane protein, causes hypomyelination and congenital cataract",2006,Nature Genetics,1111,1113,48
"Ozaki, K., Sato, H., Inoue, K., Tsunoda, T., Sakata, Y., Mizuno, H., Lin, T.-H., Miyamoto, Y., Aoki, A., Onouchi, Y., Sheu, S.-H., Ikegawa, S., Odashiro, K., Nobuyoshi, M., Juo, S.-H.H., Hori, M., Nakamura, Y., Tanaka, T.",SNPs in BRAP associated with risk of myocardial infarction in Asian populations,2009,Nature Genetics,329,333,48
"Ruzankina, Y., Schoppy, D.W., Asare, A., Clark, C.E., Vonderheide, R.H., Brown, E.J.",Tissue regenerative delays and synthetic lethality in adult mice after combined deletion of Atr and Trp53,2009,Nature Genetics,1144,1149,48
"Cha, P.-C., Takahashi, A., Hosono, N., Low, S.-K., Kamatani, N., Kubo, M., Nakamura, Y.",A genome-wide association study identifies three loci associated with susceptibility to uterine fibroids,2011,Nature Genetics,447,451,48
"Svishcheva, G.R., Axenovich, T.I., Belonogova, N.M., Van Duijn, C.M., Aulchenko, Y.S.",Rapid variance components-based method for whole-genome association analysis,2012,Nature Genetics,1166,1170,48
"Cullup, T., Kho, A.L., Dionisi-Vici, C., Brandmeier, B., Smith, F., Urry, Z., Simpson, M.A., Yau, S., Bertini, E., McClelland, V., Al-Owain, M., Koelker, S., Koerner, C., Hoffmann, G.F., Wijburg, F.A., Ten Hoedt, A.E., Rogers, R.C., Manchester, D., Miyata, R., Hayashi, M., Said, E., Soler, D., Kroisel, P.M., Windpassinger, C., Filloux, F.M., Al-Kaabi, S., Hertecant, J., Del Campo, M., Buk, S., Bodi, I., Goebel, H.-H., Sewry, C.A., Abbs, S., Mohammed, S., Josifova, D., Gautel, M., Jungbluth, H.","Recessive mutations in EPG5 cause Vici syndrome, a multisystem disorder with defective autophagy",2013,Nature Genetics,83,87,48
"Pande, K., Chen, C., Noble, S.M.",Passage through the mammalian gut triggers a phenotypic switch that promotes Candida albicans commensalism,2013,Nature Genetics,1088,1091,48
"Perez-Andreu, V., Roberts, K.G., Harvey, R.C., Yang, W., Cheng, C., Pei, D., Xu, H., Gastier-Foster, J., Shuyu, E., Lim, J.Y.-S., Chen, I.-M., Fan, Y., Devidas, M., Borowitz, M.J., Smith, C., Neale, G., Burchard, E.G., Torgerson, D.G., Klussmann, F.A., Villagran, C.R.N., Winick, N.J., Camitta, B.M., Raetz, E., Wood, B., Yue, F., Carroll, W.L., Larsen, E., Bowman, W.P., Loh, M.L., Dean, M., Bhojwani, D., Pui, C.-H., Evans, W.E., Relling, M.V., Hunger, S.P., Willman, C.L., Mullighan, C.G., Yang, J.J.",Inherited GATA3 variants are associated with Ph-like childhood acute lymphoblastic leukemia and risk of relapse,2013,Nature Genetics,1494,1498,48
"Ruark, E., Seal, S., McDonald, H., Zhang, F., Elliot, A., Lau, K., Perdeaux, E., Rapley, E., Eeles, R., Peto, J., Kote-Jarai, Z., Muir, K., Nsengimana, J., Shipley, J., Bishop, D.T., Stratton, M.R., Easton, D.F., Huddart, R.A., Rahman, N., Turnbull, C.","Identification of nine new susceptibility loci for testicular cancer, including variants near DAZL and PRDM14",2013,Nature Genetics,686,689,48
"Kurth, I., Pamminger, T., Hennings, J.C., Soehendra, D., Huebner, A.K., Rotthier, A., Baets, J., Senderek, J., Topaloglu, H., Farrell, S.A., Nürnberg, G., Nürnberg, P., De Jonghe, P., Gal, A., Kaether, C., Timmerman, V., Hübner, C.A.","Mutations in FAM134B, encoding a newly identified Golgi protein, cause severe sensory and autonomic neuropathy",2009,Nature Genetics,1179,1181,49
"Hammer, M.F., Woerner, A.E., Mendez, F.L., Watkins, J.C., Cox, M.P., Wall, J.D.",The ratio of human X chromosome to autosome diversity is positively correlated with genetic distance from genes,2010,Nature Genetics,830,831,49
"Nakashima, M., Chung, S., Takahashi, A., Kamatani, N., Kawaguchi, T., Tsunoda, T., Hosono, N., Kubo, M., Nakamura, Y., Zembutsu, H.",A genome-wide association study identifies four susceptibility loci for keloid in the Japanese population.,2010,Nature genetics,768,771,49
"Shoubridge, C., Tarpey, P.S., Abidi, F., Ramsden, S.L., Rujirabanjerd, S., Murphy, J.A., Boyle, J., Shaw, M., Gardner, A., Proos, A., Puusepp, H., Raymond, F.L., Schwartz, C.E., Stevenson, R.E., Turner, G., Field, M., Walikonis, R.S., Harvey, R.J., Hackett, A., Futreal, P.A., Stratton, M.R., Gécz, J.",Mutations in the guanine nucleotide exchange factor gene IQSEC2 cause nonsyndromic intellectual disability,2010,Nature Genetics,486,488,49
"Qiao, Y., Liu, L., Xiong, Q., Flores, C., Wong, J., Shi, J., Wang, X., Liu, X., Xiang, Q., Jiang, S., Zhang, F., Wang, Y., Judelson, H.S., Chen, X., Ma, W.",Oomycete pathogens encode RNA silencing suppressors,2013,Nature Genetics,330,333,49
"Zhang, H., Smolen, G.A., Palmer, R., Christoforou, A., Van Den Heuvel, S., Haber, D.A.",SUMO modification is required for in vivo Hox gene regulation by the Caenorhabditis elegans Polycomb group protein SOP-2,2004,Nature Genetics,507,511,50
"Tomida, S., Mamiya, T., Sakamaki, H., Miura, M., Aosaki, T., Masuda, M., Niwa, M., Kameyama, T., Kobayashi, J., Iwaki, Y., Imai, S., Ishikawa, A., Abe, K., Yoshimura, T., Nabeshima, T., Ebihara, S.",Usp46 is a quantitative trait gene regulating mouse immobile behavior in the tail suspension and forced swimming tests,2009,Nature Genetics,688,695,50
"Berger, A.H., Niki, M., Morotti, A., Taylor, B.S., Socci, N.D., Viale, A., Brennan, C., Szoke, J., Motoi, N., Rothman, P.B., Teruya-Feldstein, J., Gerald, W.L., Ladanyi, M., Pandolfi, P.P.",Identification of DOK genes as lung tumor suppressors,2010,Nature Genetics,216,223,50
"Takahashi, Y., Kou, I., Takahashi, A., Johnson, T.A., Kono, K., Kawakami, N., Uno, K., Ito, M., Minami, S., Yanagida, H., Taneichi, H., Tsuji, T., Suzuki, T., Sudo, H., Kotani, T., Watanabe, K., Chiba, K., Hosono, N., Kamatani, N., Tsunoda, T., Toyama, Y., Kubo, M., Matsumoto, M., Ikegawa, S.",A genome-wide association study identifies common variants near LBX1 associated with adolescent idiopathic scoliosis,2011,Nature Genetics,1237,1240,50
"Schödel, J., Bardella, C., Sciesielski, L.K., Brown, J.M., Pugh, C.W., Buckle, V., Tomlinson, I.P., Ratcliffe, P.J., Mole, D.R.",Common genetic variants at the 11q13.3 renal cancer susceptibility locus influence binding of HIF to an enhancer of cyclin D1 expression,2012,Nature Genetics,420,425,50
"Chung, C.C., Kanetsky, P.A., Wang, Z., Hildebrandt, M.A.T., Koster, R., Skotheim, R.I., Kratz, C.P., Turnbull, C., Cortessis, V.K., Bakken, A.C., Bishop, D.T., Cook, M.B., Erickson, R.L., Fosså, S.D., Jacobs, K.B., Korde, L.A., Kraggerud, S.M., Lothe, R.A., Loud, J.T., Rahman, N., Skinner, E.C., Thomas, D.C., Wu, X., Yeager, M., Schumacher, F.R., Greene, M.H., Schwartz, S.M., McGlynn, K.A., Chanock, S.J., Nathanson, K.L.",Meta-analysis identifies four new loci associated with testicular germ cell tumor,2013,Nature Genetics,680,685,50
"Hoff, S., Halbritter, J., Epting, D., Frank, V., Nguyen, T.-M.T., Van Reeuwijk, J., Boehlke, C., Schell, C., Yasunaga, T., Helmstädter, M., Mergen, M., Filhol, E., Boldt, K., Horn, N., Ueffing, M., Otto, E.A., Eisenberger, T., Elting, M.W., Van Wijk, J.A.E., Bockenhauer, D., Sebire, N.J., Rittig, S., Vyberg, M., Ring, T., Pohl, M., Pape, L., Neuhaus, T.J., Elshakhs, N.A.S., Koon, S.J., Harris, P.C., Grahammer, F., Huber, T.B., Kuehn, E.W., Zucker, A.K., Bolz, H.J., Roepman, R., Saunier, S., Walz, G., Hildebrandt, F., Bergmann, C., Lienkamp, S.S.",ANKS6 is a central component of a nephronophthisis module linking NEK8 to INVS and NPHP3,2013,Nature Genetics,951,956,50
"Bonnen, P.E., Pe'er, I., Plenge, R.M., Salit, J., Lowe, J.K., Shapero, M.H., Lifton, R.P., Breslow, J.L., Daly, M.J., Reich, D.E., Jones, K.W., Stoffel, M., Altshuler, D., Friedman, J.M.","Evaluating potential for whole-genome studies in Kosrae, an isolated population in Micronesia",2006,Nature Genetics,214,217,51
"Knight, C.G., Zitzmann, N., Prabhakar, S., Antrobus, R., Dwek, R., Hebestreit, H., Rainey, P.B.",Unraveling adaptive evolution: How a single point mutation affects the protein coregulation network,2006,Nature Genetics,1015,1022,51
"Pravenec, M., Churchill, P.C., Churchill, M.C., Viklicky, O., Kazdova, L., Aitman, T.J., Petretto, E., Hubner, N., Wallace, C.A., Zimdahl, H., Zidek, V., Landa, V., Dunbar, J., Bidani, A., Griffin, K., Qi, N., Maxova, M., Kren, V., Mlejnek, P., Wang, J., Kurtz, T.W.",Identification of renal Cd36 as a determinant of blood pressure and risk for hypertension,2008,Nature Genetics,952,954,51
"Sun, L., Rommens, J.M., Corvol, H., Li, W., Li, X., Chiang, T.A., Lin, F., Dorfman, R., Busson, P.-F., Parekh, R.V., Zelenika, D., Blackman, S.M., Corey, M., Doshi, V.K., Henderson, L., Naughton, K.M., O'neal, W.K., Pace, R.G., Stonebraker, J.R., Wood, S.D., Wright, F.A., Zielenski, J., Clement, A., Drumm, M.L., Boëlle, P.-Y., Cutting, G.R., Knowles, M.R., Durie, P.R., Strug, L.J.",Multiple apical plasma membrane constituents are associated with susceptibility to meconium ileus in individuals with cystic fibrosis,2012,Nature Genetics,562,569,51
"Deng, X., Hofmann, E.R., Villanueva, A., Hobert, O., Capodieci, P., Veach, D.R., Yin, X., Campodonico, L., Glekas, A., Cordon-Cardo, C., Clarkson, B., Bornmann, W.G., Fuks, Z., Hengartner, M.O., Kolesnick, R.",Caenorhabditis elegans ABL-1 antagonizes p53-mediated germline apoptosis after ionizing irradiation,2004,Nature Genetics,906,912,52
"Harada, M., Murakami, H., Okawa, A., Okimoto, N., Hiraoka, S., Nakahara, T., Akasaka, R., Shiraishi, Y.-I., Futatsugi, N., Mizutani-Koseki, Y., Kuroiwa, A., Shirouzu, M., Yokoyama, S., Taiji, M., Iseki, S., Ornitz, D.M., Koseki, H.",FGF9 monomer-dimer equilibrium regulates extracellular matrix affinity and tissue diffusion,2009,Nature Genetics,289,298,52
"Lincecum, J.M., Vieira, F.G., Wang, M.Z., Thompson, K., De Zutter, G.S., Kidd, J., Moreno, A., Sanchez, R., Carrion, I.J., Levine, B.A., Al-Nakhala, B.M., Sullivan, S.M., Gill, A., Perrin, S.",From transcriptome analysis to therapeutic anti-CD40L treatment in the SOD1 model of amyotrophic lateral sclerosis,2010,Nature Genetics,392,399,52
"Sales, K.U., Masedunskas, A., Bey, A.L., Rasmussen, A.L., Weigert, R., List, K., Szabo, R., Overbeek, P.A., Bugge, T.H.",Matriptase initiates activation of epidermal pro-kallikrein and disease onset in a mouse model of Netherton syndrome,2010,Nature Genetics,676,683,52
"Wang, H., Bauzon, F., Ji, P., Xu, X., Sun, D., Locker, J., Sellers, R.S., Nakayama, K., Nakayama, K.I., Cobrinik, D., Zhu, L.",Skp2 is required for survival of aberrantly proliferating Rb1-deficient cells and for tumorigenesis in Rb1+/ mice,2010,Nature Genetics,83,88,52
"Shea, J., Agarwala, V., Philippakis, A.A., Maguire, J., Banks, E., Depristo, M., Thomson, B., Guiducci, C., Onofrio, R.C., Kathiresan, S., Gabriel, S., Burtt, N.P., Daly, M.J., Groop, L., Altshuler, D.",Comparing strategies to fine-map the association of common SNPs at chromosome 9p21 with type 2 diabetes and myocardial infarction,2011,Nature Genetics,801,805,52
"Ikram, M.A., Fornage, M., Smith, A.V., Seshadri, S., Schmidt, R., Debette, S., Vrooman, H.A., Sigurdsson, S., Ropele, S., Taal, H.R., Mook-Kanamori, D.O., Coker, L.H., Longstreth, W.T., Niessen, W.J., Destefano, A.L., Beiser, A., Zijdenbos, A.P., Struchalin, M., Jack, C.R., Rivadeneira, F., Uitterlinden, A.G., Knopman, D.S., Hartikainen, A.-L., Pennell, C.E., Thiering, E., Steegers, E.A.P., Hakonarson, H., Heinrich, J., Palmer, L.J., Jarvelin, M.-R., Mccarthy, M.I., Grant, S.F.A., Pourcain, B.S., Timpson, N.J., Smith, G.D., Sovio, U., Nalls, M.A., Au, R., Hofman, A., Gudnason, H., Van Der Lugt, A., Harris, T.B., Meeks, W.M., Vernooij, M.W., Van Buchem, M.A., Catellier, D., Jaddoe, V.W.V., Gudnason, V., Windham, B.G., Wolf, P.A., Van Duijn, C.M., Mosley, T.H., Schmidt, H., Launer, L.J., Breteler, M.M.B., Decarli, C., Adair, L.S., Ang, W., Atalay, M., Van Beijsterveldt, T., Bergen, N., Benke, K., Berry, D., Coin, L., Davis, O.S.P., Elliott, P., Flexeder, C., Frayling, T., Gaillard, R., Groen-Blokhuis, M., Goh, L.-K., Haworth, C.M.A., Hadley, D., Hedebrand, J., Hinney, A., Hirschhorn, J.N., Holloway, J.W., Holst, C., Jan Hottenga, J., Horikoshi, M., Huikari, V., Hypponen, E., Kilpeläinen, T.O., Kirin, M., Kowgier, M., Lakka, H.-M., Lange, L.A., Lawlor, D.A., Lehtimäki, T., Lewin, A., Lindgren, C., Lindi, V., Maggi, R., Marsh, J., Middeldorp, C., Millwood, I., Murray, J.C., Nivard, M., Nohr, E.A., Ntalla, I., Oken, E., Panoutsopoulou, K., Pararajasingham, J., Rodriguez, A., Salem, R.M., Sebert, S., Siitonen, N., Strachan, D.P., Teo, Y.-Y., Valcárcel, B., Willemsen, G., Zeggini, E., Boomsma, D.I., Cooper, C., Gillman, M., Hocher, B., Lakka, T.A., Mohlke, K.L., Dedoussis, G.V., Ong, K.K., Pearson, E.R., Price, T.S., Power, C., Raitakari, O.T., Saw, S.-M., Scherag, A., Simell, O., Sørensen, T.I.A., Wilson, J.F.",Common variants at 6q22 and 17q21 are associated with intracranial volume,2012,Nature Genetics,539,544,52
"Tachibana, S.-I., Sullivan, S.A., Kawai, S., Nakamura, S., Kim, H.R., Goto, N., Arisue, N., Palacpac, N.M.Q., Honma, H., Yagi, M., Tougan, T., Katakai, Y., Kaneko, O., Mita, T., Kita, K., Yasutomi, Y., Sutton, P.L., Shakhbatyan, R., Horii, T., Yasunaga, T., Barnwell, J.W., Escalante, A.A., Carlton, J.M., Tanabe, K.",Plasmodium cynomolgi genome sequences provide insight into Plasmodium vivax and the monkey malaria clade,2012,Nature Genetics,1051,1055,52
